id_venta,producto,precio,cantidad,fecha_venta,categoria,total_venta,id_campanha,canal,costo,fecha_inicio,fecha_fin,en_campaña
1571,Freidora eléctrica,111.18,1.0,2024-01-03,Electrodomésticos,111.18,41,Email,3.92,2024-11-23,2025-01-01,False
1571,Freidora eléctrica,111.18,1.0,2024-01-03,Electrodomésticos,111.18,11,RRSS,5.27,2024-12-29,2025-01-21,False
1814,Aspiradora,70.91,2.0,2024-01-03,Electrodomésticos,141.82,40,Email,6.24,2024-06-24,2024-08-12,False
1814,Aspiradora,70.91,2.0,2024-01-03,Electrodomésticos,141.82,10,RRSS,7.16,2024-08-19,2024-09-19,False
1814,Aspiradora,70.91,2.0,2024-01-03,Electrodomésticos,141.82,70,TV,3.06,2024-12-13,2024-12-29,False
2769,Proyector,43.62,11.0,2024-01-03,Electrónica,479.82,67,TV,3.68,2024-05-22,2024-07-12,False
2769,Proyector,43.62,11.0,2024-01-03,Electrónica,479.82,37,Email,3.22,2024-07-06,2024-07-26,False
2769,Proyector,43.62,11.0,2024-01-03,Electrónica,479.82,7,RRSS,5.57,2024-07-30,2024-08-16,False
2794,Tablet,67.97,9.0,2024-01-03,Electrónica,611.73,12,RRSS,3.4,2024-03-26,2024-05-13,False
2794,Tablet,67.97,9.0,2024-01-03,Electrónica,611.73,72,TV,4.9,2024-07-08,2024-09-03,False
2794,Tablet,67.97,9.0,2024-01-03,Electrónica,611.73,42,Email,4.42,2024-07-14,2024-09-03,False
2824,Tablet,74.09,5.0,2024-01-03,Electrónica,370.45000000000005,12,RRSS,3.4,2024-03-26,2024-05-13,False
2824,Tablet,74.09,5.0,2024-01-03,Electrónica,370.45000000000005,72,TV,4.9,2024-07-08,2024-09-03,False
2824,Tablet,74.09,5.0,2024-01-03,Electrónica,370.45000000000005,42,Email,4.42,2024-07-14,2024-09-03,False
446,Cortinas,62.1,4.0,2024-01-04,Decoración,248.4,43,Email,5.67,2024-05-02,2024-06-17,False
446,Cortinas,62.1,4.0,2024-01-04,Decoración,248.4,73,TV,6.47,2024-08-17,2024-09-26,False
446,Cortinas,62.1,4.0,2024-01-04,Decoración,248.4,13,RRSS,5.22,2024-09-16,2024-10-15,False
630,Adorno de pared,71.99,9.0,2024-01-04,Decoración,647.91,74,TV,4.81,2024-03-20,2024-05-03,False
630,Adorno de pared,71.99,9.0,2024-01-04,Decoración,647.91,44,Email,5.08,2024-04-13,2024-05-10,False
630,Adorno de pared,71.99,9.0,2024-01-04,Decoración,647.91,14,RRSS,4.16,2024-10-22,2024-12-21,False
794,Jarrón decorativo,96.97,7.0,2024-01-04,Decoración,678.79,15,RRSS,4.65,2024-05-09,2024-06-13,False
794,Jarrón decorativo,96.97,7.0,2024-01-04,Decoración,678.79,45,Email,4.52,2024-06-05,2024-07-31,False
794,Jarrón decorativo,96.97,7.0,2024-01-04,Decoración,678.79,75,TV,4.1,2024-11-03,2024-12-25,False
882,Cuadro decorativo,101.92,9.0,2024-01-04,Decoración,917.28,1,RRSS,5.27,2024-04-27,2024-06-04,False
882,Cuadro decorativo,101.92,9.0,2024-01-04,Decoración,917.28,31,Email,5.28,2024-08-15,2024-09-12,False
882,Cuadro decorativo,101.92,9.0,2024-01-04,Decoración,917.28,61,TV,5.3,2024-11-05,2024-12-23,False
969,Candelabro,90.7,12.0,2024-01-04,Decoración,1088.4,69,TV,3.25,2024-05-29,2024-06-30,False
969,Candelabro,90.7,12.0,2024-01-04,Decoración,1088.4,39,Email,6.08,2024-07-17,2024-08-18,False
969,Candelabro,90.7,12.0,2024-01-04,Decoración,1088.4,9,RRSS,5.32,2024-10-08,2024-11-16,False
1445,Lavadora,28.41,10.0,2024-01-04,Electrodomésticos,284.1,46,Email,3.63,2024-05-12,2024-05-29,False
1445,Lavadora,28.41,10.0,2024-01-04,Electrodomésticos,284.1,76,TV,4.66,2024-05-26,2024-07-02,False
1445,Lavadora,28.41,10.0,2024-01-04,Electrodomésticos,284.1,16,RRSS,3.56,2024-08-14,2024-09-20,False
1971,Freidora eléctrica,122.25,11.0,2024-01-04,Electrodomésticos,1344.75,71,TV,4.37,2024-06-05,2024-07-24,False
1971,Freidora eléctrica,122.25,11.0,2024-01-04,Electrodomésticos,1344.75,41,Email,3.92,2024-11-23,2025-01-01,False
1971,Freidora eléctrica,122.25,11.0,2024-01-04,Electrodomésticos,1344.75,11,RRSS,5.27,2024-12-29,2025-01-21,False
2209,Proyector,32.15,1.0,2024-01-04,Electrónica,32.15,67,TV,3.68,2024-05-22,2024-07-12,False
2209,Proyector,32.15,1.0,2024-01-04,Electrónica,32.15,37,Email,3.22,2024-07-06,2024-07-26,False
2209,Proyector,32.15,1.0,2024-01-04,Electrónica,32.15,7,RRSS,5.57,2024-07-30,2024-08-16,False
256,Cortinas,86.82,8.0,2024-01-05,Decoración,694.56,43,Email,5.67,2024-05-02,2024-06-17,False
256,Cortinas,86.82,8.0,2024-01-05,Decoración,694.56,73,TV,6.47,2024-08-17,2024-09-26,False
256,Cortinas,86.82,8.0,2024-01-05,Decoración,694.56,13,RRSS,5.22,2024-09-16,2024-10-15,False
606,Cortinas,106.66,11.0,2024-01-05,Decoración,1173.26,43,Email,5.67,2024-05-02,2024-06-17,False
606,Cortinas,106.66,11.0,2024-01-05,Decoración,1173.26,73,TV,6.47,2024-08-17,2024-09-26,False
606,Cortinas,106.66,11.0,2024-01-05,Decoración,1173.26,13,RRSS,5.22,2024-09-16,2024-10-15,False
704,Jarrón decorativo,57.22,9.0,2024-01-05,Decoración,514.98,15,RRSS,4.65,2024-05-09,2024-06-13,False
704,Jarrón decorativo,57.22,9.0,2024-01-05,Decoración,514.98,45,Email,4.52,2024-06-05,2024-07-31,False
704,Jarrón decorativo,57.22,9.0,2024-01-05,Decoración,514.98,75,TV,4.1,2024-11-03,2024-12-25,False
1362,Heladera,109.49,11.0,2024-01-05,Electrodomésticos,1204.3899999999999,34,Email,4.2,2024-05-06,2024-07-05,False
1362,Heladera,109.49,11.0,2024-01-05,Electrodomésticos,1204.3899999999999,4,RRSS,4.53,2024-05-31,2024-07-15,False
1362,Heladera,109.49,11.0,2024-01-05,Electrodomésticos,1204.3899999999999,64,TV,4.38,2024-07-10,2024-08-09,False
2155,Auriculares,84.8,10.0,2024-01-05,Electrónica,848.0,47,Email,4.19,2024-06-02,2024-07-22,False
2155,Auriculares,84.8,10.0,2024-01-05,Electrónica,848.0,17,RRSS,6.06,2024-07-15,2024-08-15,False
2155,Auriculares,84.8,10.0,2024-01-05,Electrónica,848.0,77,TV,4.99,2024-11-11,2024-12-06,False
2947,Cámara digital,107.78,3.0,2024-01-05,Electrónica,323.34000000000003,18,RRSS,5.46,2024-07-16,2024-09-13,False
2947,Cámara digital,107.78,3.0,2024-01-05,Electrónica,323.34000000000003,78,TV,4.1,2024-08-02,2024-09-20,False
2947,Cámara digital,107.78,3.0,2024-01-05,Electrónica,323.34000000000003,48,Email,6.84,2024-10-31,2024-12-09,False
1495,Lavadora,38.99,6.0,2024-01-06,Electrodomésticos,233.94,46,Email,3.63,2024-05-12,2024-05-29,False
1495,Lavadora,38.99,6.0,2024-01-06,Electrodomésticos,233.94,76,TV,4.66,2024-05-26,2024-07-02,False
1495,Lavadora,38.99,6.0,2024-01-06,Electrodomésticos,233.94,16,RRSS,3.56,2024-08-14,2024-09-20,False
1572,Cafetera,61.4,9.0,2024-01-06,Electrodomésticos,552.6,49,Email,5.2,2024-06-20,2024-07-22,False
1572,Cafetera,61.4,9.0,2024-01-06,Electrodomésticos,552.6,79,TV,7.26,2024-08-13,2024-10-11,False
1572,Cafetera,61.4,9.0,2024-01-06,Electrodomésticos,552.6,19,RRSS,5.7,2024-08-19,2024-09-15,False
2180,Consola de videojuegos,102.57,9.0,2024-01-06,Electrónica,923.1299999999999,50,Email,4.97,2024-05-03,2024-05-28,False
2180,Consola de videojuegos,102.57,9.0,2024-01-06,Electrónica,923.1299999999999,20,RRSS,3.16,2024-07-15,2024-08-03,False
2180,Consola de videojuegos,102.57,9.0,2024-01-06,Electrónica,923.1299999999999,80,TV,4.64,2024-11-01,2024-11-20,False
2487,Cámara digital,50.76,3.0,2024-01-06,Electrónica,152.28,18,RRSS,5.46,2024-07-16,2024-09-13,False
2487,Cámara digital,50.76,3.0,2024-01-06,Electrónica,152.28,78,TV,4.1,2024-08-02,2024-09-20,False
2487,Cámara digital,50.76,3.0,2024-01-06,Electrónica,152.28,48,Email,6.84,2024-10-31,2024-12-09,False
2603,Smartphone,87.05,5.0,2024-01-06,Electrónica,435.25,21,RRSS,6.37,2024-03-29,2024-05-16,False
2603,Smartphone,87.05,5.0,2024-01-06,Electrónica,435.25,51,Email,4.65,2024-05-28,2024-06-15,False
2603,Smartphone,87.05,5.0,2024-01-06,Electrónica,435.25,81,TV,4.78,2024-09-28,2024-10-24,False
2885,Auriculares,100.4,6.0,2024-01-06,Electrónica,602.4000000000001,47,Email,4.19,2024-06-02,2024-07-22,False
2885,Auriculares,100.4,6.0,2024-01-06,Electrónica,602.4000000000001,17,RRSS,6.06,2024-07-15,2024-08-15,False
2885,Auriculares,100.4,6.0,2024-01-06,Electrónica,602.4000000000001,77,TV,4.99,2024-11-11,2024-12-06,False
17,Elementos de cerámica,108.48,11.0,2024-01-07,Decoración,1193.28,22,RRSS,5.44,2024-06-26,2024-07-15,False
17,Elementos de cerámica,108.48,11.0,2024-01-07,Decoración,1193.28,82,TV,5.69,2024-09-08,2024-10-12,False
17,Elementos de cerámica,108.48,11.0,2024-01-07,Decoración,1193.28,52,Email,5.74,2024-09-09,2024-09-30,False
183,Espejo decorativo,82.76,8.0,2024-01-07,Decoración,662.08,83,TV,5.24,2024-05-31,2024-07-08,False
183,Espejo decorativo,82.76,8.0,2024-01-07,Decoración,662.08,53,Email,4.9,2024-07-17,2024-08-01,False
183,Espejo decorativo,82.76,8.0,2024-01-07,Decoración,662.08,23,RRSS,4.75,2024-08-28,2024-10-17,False
560,Adorno de pared,57.62,6.0,2024-01-07,Decoración,345.71999999999997,74,TV,4.81,2024-03-20,2024-05-03,False
560,Adorno de pared,57.62,6.0,2024-01-07,Decoración,345.71999999999997,44,Email,5.08,2024-04-13,2024-05-10,False
560,Adorno de pared,57.62,6.0,2024-01-07,Decoración,345.71999999999997,14,RRSS,4.16,2024-10-22,2024-12-21,False
632,Cuadro decorativo,30.49,12.0,2024-01-07,Decoración,365.88,1,RRSS,5.27,2024-04-27,2024-06-04,False
632,Cuadro decorativo,30.49,12.0,2024-01-07,Decoración,365.88,31,Email,5.28,2024-08-15,2024-09-12,False
632,Cuadro decorativo,30.49,12.0,2024-01-07,Decoración,365.88,61,TV,5.3,2024-11-05,2024-12-23,False
699,Candelabro,34.23,12.0,2024-01-07,Decoración,410.76,69,TV,3.25,2024-05-29,2024-06-30,False
699,Candelabro,34.23,12.0,2024-01-07,Decoración,410.76,39,Email,6.08,2024-07-17,2024-08-18,False
699,Candelabro,34.23,12.0,2024-01-07,Decoración,410.76,9,RRSS,5.32,2024-10-08,2024-11-16,False
1150,Plancha de vapor,33.63,10.0,2024-01-07,Electrodomésticos,336.3,36,Email,5.41,2024-04-02,2024-06-01,False
1150,Plancha de vapor,33.63,10.0,2024-01-07,Electrodomésticos,336.3,6,RRSS,4.02,2024-09-24,2024-11-02,False
1150,Plancha de vapor,33.63,10.0,2024-01-07,Electrodomésticos,336.3,66,TV,4.69,2024-10-04,2024-10-23,False
1400,Plancha de vapor,26.91,5.0,2024-01-07,Electrodomésticos,134.55,36,Email,5.41,2024-04-02,2024-06-01,False
1400,Plancha de vapor,26.91,5.0,2024-01-07,Electrodomésticos,134.55,6,RRSS,4.02,2024-09-24,2024-11-02,False
1400,Plancha de vapor,26.91,5.0,2024-01-07,Electrodomésticos,134.55,66,TV,4.69,2024-10-04,2024-10-23,False
1496,Secadora,95.33,11.0,2024-01-07,Electrodomésticos,1048.6299999999999,3,RRSS,5.1,2024-07-24,2024-08-30,False
1496,Secadora,95.33,11.0,2024-01-07,Electrodomésticos,1048.6299999999999,63,TV,5.69,2024-11-03,2024-11-28,False
1496,Secadora,95.33,11.0,2024-01-07,Electrodomésticos,1048.6299999999999,33,Email,3.8,2024-12-20,2025-01-07,False
1524,Aspiradora,65.55,8.0,2024-01-07,Electrodomésticos,524.4,40,Email,6.24,2024-06-24,2024-08-12,False
1524,Aspiradora,65.55,8.0,2024-01-07,Electrodomésticos,524.4,10,RRSS,7.16,2024-08-19,2024-09-19,False
1524,Aspiradora,65.55,8.0,2024-01-07,Electrodomésticos,524.4,70,TV,3.06,2024-12-13,2024-12-29,False
1550,Plancha de vapor,51.51,7.0,2024-01-07,Electrodomésticos,360.57,36,Email,5.41,2024-04-02,2024-06-01,False
1550,Plancha de vapor,51.51,7.0,2024-01-07,Electrodomésticos,360.57,6,RRSS,4.02,2024-09-24,2024-11-02,False
1550,Plancha de vapor,51.51,7.0,2024-01-07,Electrodomésticos,360.57,66,TV,4.69,2024-10-04,2024-10-23,False
2174,Auriculares,116.04,11.0,2024-01-07,Electrónica,1276.44,47,Email,4.19,2024-06-02,2024-07-22,False
2174,Auriculares,116.04,11.0,2024-01-07,Electrónica,1276.44,17,RRSS,6.06,2024-07-15,2024-08-15,False
2174,Auriculares,116.04,11.0,2024-01-07,Electrónica,1276.44,77,TV,4.99,2024-11-11,2024-12-06,False
2773,Smartphone,107.51,5.0,2024-01-07,Electrónica,537.5500000000001,21,RRSS,6.37,2024-03-29,2024-05-16,False
2773,Smartphone,107.51,5.0,2024-01-07,Electrónica,537.5500000000001,51,Email,4.65,2024-05-28,2024-06-15,False
2773,Smartphone,107.51,5.0,2024-01-07,Electrónica,537.5500000000001,81,TV,4.78,2024-09-28,2024-10-24,False
2920,Consola de videojuegos,29.49,2.0,2024-01-07,Electrónica,58.98,50,Email,4.97,2024-05-03,2024-05-28,False
2920,Consola de videojuegos,29.49,2.0,2024-01-07,Electrónica,58.98,20,RRSS,3.16,2024-07-15,2024-08-03,False
2920,Consola de videojuegos,29.49,2.0,2024-01-07,Electrónica,58.98,80,TV,4.64,2024-11-01,2024-11-20,False
84,Jarrón decorativo,37.05,4.0,2024-01-08,Decoración,148.2,15,RRSS,4.65,2024-05-09,2024-06-13,False
84,Jarrón decorativo,37.05,4.0,2024-01-08,Decoración,148.2,45,Email,4.52,2024-06-05,2024-07-31,False
84,Jarrón decorativo,37.05,4.0,2024-01-08,Decoración,148.2,75,TV,4.1,2024-11-03,2024-12-25,False
349,Candelabro,57.65,6.0,2024-01-08,Decoración,345.9,69,TV,3.25,2024-05-29,2024-06-30,False
349,Candelabro,57.65,6.0,2024-01-08,Decoración,345.9,39,Email,6.08,2024-07-17,2024-08-18,False
349,Candelabro,57.65,6.0,2024-01-08,Decoración,345.9,9,RRSS,5.32,2024-10-08,2024-11-16,False
687,Elementos de cerámica,27.68,8.0,2024-01-08,Decoración,221.44,22,RRSS,5.44,2024-06-26,2024-07-15,False
687,Elementos de cerámica,27.68,8.0,2024-01-08,Decoración,221.44,82,TV,5.69,2024-09-08,2024-10-12,False
687,Elementos de cerámica,27.68,8.0,2024-01-08,Decoración,221.44,52,Email,5.74,2024-09-09,2024-09-30,False
696,Cortinas,32.57,8.0,2024-01-08,Decoración,260.56,43,Email,5.67,2024-05-02,2024-06-17,False
696,Cortinas,32.57,8.0,2024-01-08,Decoración,260.56,73,TV,6.47,2024-08-17,2024-09-26,False
696,Cortinas,32.57,8.0,2024-01-08,Decoración,260.56,13,RRSS,5.22,2024-09-16,2024-10-15,False
1734,Aspiradora,50.86,4.0,2024-01-08,Electrodomésticos,203.44,40,Email,6.24,2024-06-24,2024-08-12,False
1734,Aspiradora,50.86,4.0,2024-01-08,Electrodomésticos,203.44,10,RRSS,7.16,2024-08-19,2024-09-19,False
1734,Aspiradora,50.86,4.0,2024-01-08,Electrodomésticos,203.44,70,TV,3.06,2024-12-13,2024-12-29,False
2173,Smartphone,54.19,12.0,2024-01-08,Electrónica,650.28,21,RRSS,6.37,2024-03-29,2024-05-16,False
2173,Smartphone,54.19,12.0,2024-01-08,Electrónica,650.28,51,Email,4.65,2024-05-28,2024-06-15,False
2173,Smartphone,54.19,12.0,2024-01-08,Electrónica,650.28,81,TV,4.78,2024-09-28,2024-10-24,False
2283,Smartphone,70.07,11.0,2024-01-08,Electrónica,770.77,21,RRSS,6.37,2024-03-29,2024-05-16,False
2283,Smartphone,70.07,11.0,2024-01-08,Electrónica,770.77,51,Email,4.65,2024-05-28,2024-06-15,False
2283,Smartphone,70.07,11.0,2024-01-08,Electrónica,770.77,81,TV,4.78,2024-09-28,2024-10-24,False
2501,Parlantes Bluetooth,87.78,1.0,2024-01-08,Electrónica,87.78,84,TV,4.42,2024-04-17,2024-05-05,False
2501,Parlantes Bluetooth,87.78,1.0,2024-01-08,Electrónica,87.78,54,Email,2.95,2024-08-09,2024-09-22,False
2501,Parlantes Bluetooth,87.78,1.0,2024-01-08,Electrónica,87.78,24,RRSS,6.0,2024-09-22,2024-10-26,False
2918,SmartWatch,82.18,10.0,2024-01-08,Electrónica,821.8000000000001,85,TV,5.07,2024-04-01,2024-05-05,False
2918,SmartWatch,82.18,10.0,2024-01-08,Electrónica,821.8000000000001,55,Email,4.59,2024-10-13,2024-12-06,False
2918,SmartWatch,82.18,10.0,2024-01-08,Electrónica,821.8000000000001,25,RRSS,4.84,2024-11-23,2024-12-29,False
386,Cortinas,85.71,8.0,2024-01-09,Decoración,685.68,43,Email,5.67,2024-05-02,2024-06-17,False
386,Cortinas,85.71,8.0,2024-01-09,Decoración,685.68,73,TV,6.47,2024-08-17,2024-09-26,False
386,Cortinas,85.71,8.0,2024-01-09,Decoración,685.68,13,RRSS,5.22,2024-09-16,2024-10-15,False
599,Candelabro,47.22,5.0,2024-01-09,Decoración,236.1,69,TV,3.25,2024-05-29,2024-06-30,False
599,Candelabro,47.22,5.0,2024-01-09,Decoración,236.1,39,Email,6.08,2024-07-17,2024-08-18,False
599,Candelabro,47.22,5.0,2024-01-09,Decoración,236.1,9,RRSS,5.32,2024-10-08,2024-11-16,False
633,Espejo decorativo,60.39,2.0,2024-01-09,Decoración,120.78,83,TV,5.24,2024-05-31,2024-07-08,False
633,Espejo decorativo,60.39,2.0,2024-01-09,Decoración,120.78,53,Email,4.9,2024-07-17,2024-08-01,False
633,Espejo decorativo,60.39,2.0,2024-01-09,Decoración,120.78,23,RRSS,4.75,2024-08-28,2024-10-17,False
714,Jarrón decorativo,42.46,8.0,2024-01-09,Decoración,339.68,15,RRSS,4.65,2024-05-09,2024-06-13,False
714,Jarrón decorativo,42.46,8.0,2024-01-09,Decoración,339.68,45,Email,4.52,2024-06-05,2024-07-31,False
714,Jarrón decorativo,42.46,8.0,2024-01-09,Decoración,339.68,75,TV,4.1,2024-11-03,2024-12-25,False
871,Lámpara de mesa,79.64,11.0,2024-01-09,Decoración,876.04,32,Email,5.54,2024-03-28,2024-04-20,False
871,Lámpara de mesa,79.64,11.0,2024-01-09,Decoración,876.04,2,RRSS,5.88,2024-05-30,2024-06-29,False
871,Lámpara de mesa,79.64,11.0,2024-01-09,Decoración,876.04,62,TV,4.51,2024-08-26,2024-10-07,False
1132,Cafetera,29.88,10.0,2024-01-09,Electrodomésticos,298.8,49,Email,5.2,2024-06-20,2024-07-22,False
1132,Cafetera,29.88,10.0,2024-01-09,Electrodomésticos,298.8,79,TV,7.26,2024-08-13,2024-10-11,False
1132,Cafetera,29.88,10.0,2024-01-09,Electrodomésticos,298.8,19,RRSS,5.7,2024-08-19,2024-09-15,False
1443,Microondas,67.39,8.0,2024-01-09,Electrodomésticos,539.12,56,Email,4.94,2024-08-06,2024-08-25,False
1443,Microondas,67.39,8.0,2024-01-09,Electrodomésticos,539.12,26,RRSS,5.0,2024-09-25,2024-10-14,False
1443,Microondas,67.39,8.0,2024-01-09,Electrodomésticos,539.12,86,TV,4.25,2024-09-25,2024-11-15,False
1584,Aspiradora,99.58,7.0,2024-01-09,Electrodomésticos,697.06,40,Email,6.24,2024-06-24,2024-08-12,False
1584,Aspiradora,99.58,7.0,2024-01-09,Electrodomésticos,697.06,10,RRSS,7.16,2024-08-19,2024-09-19,False
1584,Aspiradora,99.58,7.0,2024-01-09,Electrodomésticos,697.06,70,TV,3.06,2024-12-13,2024-12-29,False
1617,Horno eléctrico,68.53,8.0,2024-01-09,Electrodomésticos,548.24,35,Email,5.65,2024-07-31,2024-09-29,False
1617,Horno eléctrico,68.53,8.0,2024-01-09,Electrodomésticos,548.24,5,RRSS,5.16,2024-08-22,2024-10-17,False
1617,Horno eléctrico,68.53,8.0,2024-01-09,Electrodomésticos,548.24,65,TV,3.08,2024-10-23,2024-12-11,False
1649,Batidora,39.26,11.0,2024-01-09,Electrodomésticos,431.85999999999996,57,Email,4.48,2024-04-10,2024-06-08,False
1649,Batidora,39.26,11.0,2024-01-09,Electrodomésticos,431.85999999999996,87,TV,6.28,2024-08-27,2024-10-11,False
1649,Batidora,39.26,11.0,2024-01-09,Electrodomésticos,431.85999999999996,27,RRSS,4.52,2024-11-01,2024-12-08,False
2917,Cámara digital,120.87,7.0,2024-01-09,Electrónica,846.09,18,RRSS,5.46,2024-07-16,2024-09-13,False
2917,Cámara digital,120.87,7.0,2024-01-09,Electrónica,846.09,78,TV,4.1,2024-08-02,2024-09-20,False
2917,Cámara digital,120.87,7.0,2024-01-09,Electrónica,846.09,48,Email,6.84,2024-10-31,2024-12-09,False
315,Alfombra,122.07,9.0,2024-01-10,Decoración,1098.6299999999999,58,Email,4.25,2024-03-31,2024-05-05,False
315,Alfombra,122.07,9.0,2024-01-10,Decoración,1098.6299999999999,88,TV,7.39,2024-07-25,2024-08-31,False
315,Alfombra,122.07,9.0,2024-01-10,Decoración,1098.6299999999999,28,RRSS,5.82,2024-11-27,2025-01-08,False
553,Espejo decorativo,96.29,9.0,2024-01-10,Decoración,866.61,83,TV,5.24,2024-05-31,2024-07-08,False
553,Espejo decorativo,96.29,9.0,2024-01-10,Decoración,866.61,53,Email,4.9,2024-07-17,2024-08-01,False
553,Espejo decorativo,96.29,9.0,2024-01-10,Decoración,866.61,23,RRSS,4.75,2024-08-28,2024-10-17,False
817,Elementos de cerámica,106.31,1.0,2024-01-10,Decoración,106.31,22,RRSS,5.44,2024-06-26,2024-07-15,False
817,Elementos de cerámica,106.31,1.0,2024-01-10,Decoración,106.31,82,TV,5.69,2024-09-08,2024-10-12,False
817,Elementos de cerámica,106.31,1.0,2024-01-10,Decoración,106.31,52,Email,5.74,2024-09-09,2024-09-30,False
830,Adorno de pared,67.23,10.0,2024-01-10,Decoración,672.3000000000001,74,TV,4.81,2024-03-20,2024-05-03,False
830,Adorno de pared,67.23,10.0,2024-01-10,Decoración,672.3000000000001,44,Email,5.08,2024-04-13,2024-05-10,False
830,Adorno de pared,67.23,10.0,2024-01-10,Decoración,672.3000000000001,14,RRSS,4.16,2024-10-22,2024-12-21,False
854,Jarrón decorativo,42.83,5.0,2024-01-10,Decoración,214.14999999999998,15,RRSS,4.65,2024-05-09,2024-06-13,False
854,Jarrón decorativo,42.83,5.0,2024-01-10,Decoración,214.14999999999998,45,Email,4.52,2024-06-05,2024-07-31,False
854,Jarrón decorativo,42.83,5.0,2024-01-10,Decoración,214.14999999999998,75,TV,4.1,2024-11-03,2024-12-25,False
1090,Plancha de vapor,66.15,8.0,2024-01-10,Electrodomésticos,529.2,36,Email,5.41,2024-04-02,2024-06-01,False
